               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.042537,            0.013312,           0.0065382,             0.60674,             0.88889,               0.863,             0.63287,            0.032365,           0.0053916,           0.0015911,           0.0094555,           0.0094555,           0.0094555
                  57,            0.039715,            0.011833,            0.005509,             0.77022,             0.72222,             0.88444,             0.61218,            0.024926,             0.00563,           0.0018822,           0.0094456,           0.0094456,           0.0094456
                  58,            0.041079,            0.012332,           0.0094557,              0.6952,             0.72222,               0.798,             0.54809,            0.033166,           0.0063112,            0.002446,           0.0094357,           0.0094357,           0.0094357
                  59,            0.047258,            0.013094,           0.0056899,             0.79811,             0.72222,             0.84881,             0.42065,            0.028199,           0.0057085,           0.0028698,           0.0094258,           0.0094258,           0.0094258
                  60,            0.043543,            0.011596,            0.010682,             0.73693,             0.77836,             0.88417,             0.50292,            0.024541,           0.0057797,           0.0036568,           0.0094159,           0.0094159,           0.0094159
                  61,            0.039856,            0.013208,           0.0046665,             0.71216,             0.83333,             0.88444,             0.52544,            0.029048,           0.0056732,           0.0041946,            0.009406,            0.009406,            0.009406
                  62,            0.042737,            0.014138,           0.0051344,             0.80595,             0.83333,             0.93944,             0.49637,            0.023206,           0.0059421,           0.0051476,           0.0093961,           0.0093961,           0.0093961
                  63,            0.033372,            0.012149,           0.0056612,             0.85817,             0.86943,               0.995,             0.62083,            0.030352,           0.0059791,           0.0041275,           0.0093862,           0.0093862,           0.0093862
                  64,            0.047877,            0.011879,           0.0043873,             0.87807,             0.91019,               0.995,             0.56055,            0.022501,           0.0050416,           0.0030426,           0.0093763,           0.0093763,           0.0093763
                  65,            0.041681,            0.014307,           0.0049348,             0.82655,                   1,               0.995,             0.50744,            0.028821,           0.0056064,           0.0024277,           0.0093664,           0.0093664,           0.0093664
                  66,            0.049826,            0.011275,           0.0066541,             0.87345,                   1,               0.995,             0.42745,            0.022907,           0.0053358,           0.0021175,           0.0093565,           0.0093565,           0.0093565
                  67,            0.040617,             0.01195,           0.0036044,             0.73166,                   1,               0.995,             0.70222,            0.025541,           0.0065074,           0.0022789,           0.0093466,           0.0093466,           0.0093466
