               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  94,            0.039804,           0.0074633,           0.0021851,             0.95631,                   1,               0.995,             0.83682,            0.016121,           0.0035565,           0.0014439,           0.0081586,           0.0081586,           0.0081586
                  95,             0.03034,           0.0091483,           0.0024191,             0.96016,                   1,               0.995,              0.7305,            0.018907,           0.0039558,           0.0014858,           0.0081388,           0.0081388,           0.0081388
                  96,            0.030497,           0.0095192,           0.0019339,             0.96674,                   1,               0.995,             0.76198,            0.016936,           0.0035839,           0.0015205,            0.008119,            0.008119,            0.008119
                  97,            0.032099,           0.0083311,           0.0024769,             0.96853,                   1,               0.995,             0.80212,            0.019355,           0.0037212,           0.0015503,           0.0080992,           0.0080992,           0.0080992
                  98,            0.024381,           0.0094936,           0.0023876,             0.94168,                   1,               0.995,             0.63654,            0.018605,           0.0039682,           0.0015373,           0.0080794,           0.0080794,           0.0080794
                  99,            0.029974,           0.0083308,           0.0033618,               0.959,                   1,               0.995,             0.80509,            0.016589,           0.0039091,           0.0016266,           0.0080596,           0.0080596,           0.0080596
                 100,            0.031726,           0.0098429,           0.0025914,              0.8323,                   1,               0.995,             0.71896,            0.016742,           0.0038793,           0.0015442,           0.0080398,           0.0080398,           0.0080398
                 101,            0.032901,           0.0094105,           0.0033493,              0.9612,                   1,               0.995,             0.68461,            0.018772,           0.0036082,           0.0015209,             0.00802,             0.00802,             0.00802
                 102,            0.027468,           0.0085616,           0.0021966,             0.95301,                   1,               0.995,             0.75695,             0.01653,           0.0036929,           0.0014381,           0.0080002,           0.0080002,           0.0080002
                 103,            0.029183,           0.0090786,           0.0021412,               0.955,                   1,               0.995,              0.7379,            0.018185,           0.0035975,           0.0014118,           0.0079804,           0.0079804,           0.0079804
                 104,            0.025291,           0.0072174,           0.0016031,             0.85628,                   1,               0.995,             0.76855,            0.015842,           0.0038421,           0.0014042,           0.0079606,           0.0079606,           0.0079606
                 105,             0.03256,            0.010977,           0.0023301,              0.8067,                   1,               0.995,             0.76819,            0.012107,           0.0035875,           0.0013004,           0.0079408,           0.0079408,           0.0079408
                 106,            0.020647,           0.0079018,           0.0023738,             0.80536,                   1,               0.995,             0.76365,             0.02043,           0.0035114,           0.0012596,            0.007921,            0.007921,            0.007921
                 107,            0.035198,           0.0096357,           0.0026229,             0.97229,                   1,               0.995,             0.81746,             0.01735,           0.0033672,            0.001215,           0.0079012,           0.0079012,           0.0079012
                 108,            0.035338,            0.011065,           0.0033834,             0.96826,                   1,               0.995,             0.80807,            0.014527,           0.0034013,           0.0012972,           0.0078814,           0.0078814,           0.0078814
